2016-06-09 12:48:17.0870|INFO|thread:67|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 273 at GitClient.cs:290 after waiting 5.81E-05s
2016-06-09 12:48:17.0870|INFO|thread:64|AsyncReaderWriterLock|Released concurrent scheduler for operation: 272 at RepositoryModel.cs:596 after blocking 0.010734s
2016-06-09 12:48:17.1026|INFO|thread:61|AsyncReaderWriterLock|Released concurrent scheduler for operation: 271 at GitClient.cs:201 after blocking 0.0176835s
2016-06-09 12:48:17.1182|INFO|thread:49|GitEnvironment|Process set up with this SSH Agent info: 5820:/tmp/ssh-8lgaIFTZESYq/agent.5824
2016-06-09 12:48:17.1182|INFO|thread:49|GitEnvironment|PATH is C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\Ирина\AppData\Local\Apps\2.0\WTM5411E.PVE\YL85OGTR.XH7\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\Ирина\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\12.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\3.1\Framework\v4.0\
2016-06-09 12:48:17.1182|INFO|thread:49|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\
2016-06-09 12:48:17.4632|INFO|thread:49|ConcurrentRepositoryConnection|Took 338ms to git status
2016-06-09 12:48:17.4632|INFO|thread:49|ConcurrentRepositoryConnection|Took 338ms to git status and parse output
2016-06-09 12:48:17.6052|INFO|thread:49|NewCommitViewModel|Took 504ms to load files for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks
2016-06-09 12:48:17.6052|INFO|thread:49|AsyncReaderWriterLock|Released concurrent scheduler for operation: 273 at GitClient.cs:290 after blocking 0.504293s
2016-06-09 12:48:17.7062|INFO|thread: 1|NewCommitViewModel|Took 101ms to render file list for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks
2016-06-09 12:48:17.7062|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 274 at RepositoryViewModel.cs:318
